,Open Time,End Time,TP,PNL,PNLQ
2021-10-12 19:54:00,2021-10-12 19:54:00.000,2021-10-12 22:00:00.000,1.2242096,Profit,1.3418543046357598
2021-10-12 20:06:00,2021-10-12 20:06:00.000,2021-10-12 22:00:00.000,1.220217126262016,Profit,1.763059019118856
2021-10-12 23:48:00,2021-10-12 23:48:00.000,2021-10-13 00:09:00.000,1.2301929341720503,Profit,0.5881385259239806
2021-10-13 17:54:00,2021-10-13 17:54:00.000,2021-10-13 18:27:00.000,1.240524416,Profit,1.1846995106035791
2021-10-13 19:03:00,2021-10-13 19:03:00.000,2021-10-13 21:00:00.000,1.23904100864,Profit,0.8170063986981262
2021-10-13 19:39:00,2021-10-13 19:39:00.000,2021-10-13 21:00:00.000,1.2339903532391499,Profit,0.6532094752234059
2021-10-13 19:48:00,2021-10-13 19:48:00.000,2021-10-13 21:00:00.000,1.2330693531633925,Profit,0.8170063986981262
2021-10-13 20:12:00,2021-10-13 20:12:00.000,2021-10-13 21:00:00.000,1.234,Profit,0.8170063986981262
2021-10-13 20:45:00,2021-10-13 20:45:00.000,2021-10-13 21:00:00.000,1.239,Profit,0.6532094752234059
2021-10-13 22:12:00,2021-10-13 22:12:00.000,2021-10-13 22:24:00.000,1.24386,Profit,0.39225181598061454
2021-10-13 22:48:00,2021-10-13 22:48:00.000,2021-10-13 22:54:00.000,1.246,Profit,0.5649717514124148
2021-10-13 23:27:00,2021-10-13 23:27:00.000,2021-10-14 00:00:00.000,1.245446471498752,Profit,0.8458681375507666
2021-10-14 03:42:00,2021-10-14 03:42:00.000,2021-10-14 04:21:00.000,1.2498673143906205,Profit,0.3909489470377707
2021-10-14 03:57:00,2021-10-14 03:57:00.000,2021-10-14 04:21:00.000,1.2484147933575476,Profit,0.3909489470377707
2021-10-14 08:42:00,2021-10-14 08:42:00.000,2021-10-14 09:39:00.000,1.265604,Profit,0.5245432883240824
2021-10-14 08:45:00,2021-10-14 08:45:00.000,2021-10-14 09:39:00.000,1.26541192,Profit,0.6044515103338597
2021-10-14 08:48:00,2021-10-14 08:48:00.000,2021-10-14 09:39:00.000,1.2652236816,Profit,0.6044515103338597
2021-10-14 08:57:00,2021-10-14 08:57:00.000,2021-10-14 09:39:00.000,1.2644240868562944,Profit,1.08658146964855
2021-10-14 09:00:00,2021-10-14 09:00:00.000,2021-10-14 09:39:00.000,1.2636186416449167,Profit,1.08658146964855
2021-10-14 09:09:00,2021-10-14 09:09:00.000,2021-10-14 09:39:00.000,1.2610978452168526,Profit,1.1673860911270992
2021-10-14 09:21:00,2021-10-14 09:21:00.000,2021-10-14 09:39:00.000,1.257666811144523,Profit,1.4919005613472223
2021-10-14 10:57:00,2021-10-14 10:57:00.000,2021-10-14 11:12:00.000,1.2693583932483996,Profit,0.42392351648730653
2021-10-14 11:06:00,2021-10-14 11:06:00.000,2021-10-14 11:12:00.000,1.2688080448582477,Profit,0.18613995646406067
2021-10-14 12:00:00,2021-10-14 12:00:00.000,2021-10-14 12:30:00.000,1.28,Profit,1.185770750988155
2021-10-14 12:18:00,2021-10-14 12:18:00.000,2021-10-14 12:30:00.000,1.2781734780938239,Profit,0.5498821681068478
