,Open Time,Open,High,Low,Close,Volume,Close Time,PSAR
2021-09-26 05:30:00,1632634200000,35.92000000,35.92000000,35.75000000,35.82000000,11367.24000000,1632634379999,36.064592
2021-09-26 10:21:00,1632651660000,36.04000000,36.04000000,35.83000000,35.93000000,19303.44000000,1632651839999,36.9545046144
2021-09-26 20:39:00,1632688740000,35.93000000,35.93000000,35.68000000,35.77000000,14435.49000000,1632688919999,35.95
2021-09-26 20:51:00,1632689460000,35.73000000,35.73000000,35.64000000,35.66000000,3079.23000000,1632689639999,35.90699104
2021-09-26 21:21:00,1632691260000,35.64000000,35.64000000,35.55000000,35.64000000,6245.80000000,1632691439999,35.673
2021-09-26 22:24:00,1632695040000,36.00000000,36.00000000,35.90000000,35.96000000,4178.68000000,1632695219999,36.370200000000004
2021-09-27 01:06:00,1632704760000,35.52000000,35.52000000,35.22000000,35.45000000,19240.97000000,1632704939999,36.01
2021-09-27 02:15:00,1632708900000,36.88000000,36.88000000,36.56000000,36.57000000,22370.01000000,1632709079999,37.518976086016
2021-09-27 02:42:00,1632710520000,36.84000000,36.84000000,36.64000000,36.72000000,12242.01000000,1632710699999,36.9
2021-09-27 02:45:00,1632710700000,36.71000000,36.71000000,36.62000000,36.63000000,4760.06000000,1632710879999,36.9
2021-09-27 03:30:00,1632713400000,36.61000000,36.61000000,36.46000000,36.49000000,9005.75000000,1632713579999,36.88
2021-09-27 11:36:00,1632742560000,37.03000000,37.03000000,36.90000000,37.00000000,12498.72000000,1632742739999,37.665152
2021-09-27 11:51:00,1632743460000,37.20000000,37.20000000,37.12000000,37.15000000,3583.28000000,1632743639999,37.58395046925712
2021-09-27 14:54:00,1632754440000,37.31000000,37.31000000,36.98000000,37.05000000,39722.17000000,1632754619999,38.044136243808005
2021-09-27 15:06:00,1632755160000,37.75000000,37.75000000,37.53000000,37.70000000,27141.22000000,1632755339999,37.95220956839051
2021-09-28 21:36:00,1632864960000,34.41000000,34.41000000,34.36000000,34.37000000,4747.03000000,1632865139999,34.49196288
2021-09-29 03:09:00,1632884940000,34.33000000,34.33000000,34.20000000,34.33000000,12003.27000000,1632885119999,34.654687948799996
2021-09-29 06:42:00,1632897720000,34.75000000,34.75000000,34.59000000,34.71000000,9662.39000000,1632897899999,34.833943082959586
2021-09-29 15:36:00,1632929760000,35.69000000,35.69000000,35.15000000,35.29000000,67538.47000000,1632929939999,36.315231999999995
2021-09-29 23:15:00,1632957300000,33.96000000,33.96000000,33.88000000,33.93000000,2331.21000000,1632957479999,34.0851578112
2021-09-29 23:21:00,1632957660000,33.92000000,33.92000000,33.86000000,33.91000000,7151.45000000,1632957839999,34.07346956187648
2021-09-30 00:06:00,1632960360000,34.01000000,34.01000000,33.93000000,33.98000000,6494.77000000,1632960539999,34.21
2021-09-30 03:21:00,1632972060000,35.23000000,35.23000000,35.14000000,35.16000000,5194.62000000,1632972239999,35.6168137728
2021-09-30 03:30:00,1632972600000,35.30000000,35.30000000,35.14000000,35.25000000,20581.67000000,1632972779999,35.489621623490564
2021-09-30 05:09:00,1632978540000,35.55000000,35.55000000,35.46000000,35.47000000,7934.69000000,1632978719999,35.58
2021-09-30 12:03:00,1633003380000,35.40000000,35.40000000,35.21000000,35.28000000,14664.68000000,1633003559999,35.70599192935632
2021-09-30 13:21:00,1633008060000,35.46000000,35.46000000,35.26000000,35.33000000,7849.80000000,1633008239999,35.95
2021-09-30 16:36:00,1633019760000,36.76000000,36.76000000,36.60000000,36.73000000,7133.31000000,1633019939999,37.302334105599996
2021-09-30 19:42:00,1633030920000,38.26000000,38.26000000,37.87000000,38.05000000,34872.93000000,1633031099999,38.689600000000006
2021-09-30 20:03:00,1633032180000,38.36000000,38.36000000,38.22000000,38.31000000,9185.52000000,1633032359999,38.505904
2021-09-30 20:09:00,1633032540000,38.29000000,38.29000000,38.07000000,38.13000000,13475.81000000,1633032719999,38.4560491264
2021-09-30 20:18:00,1633033080000,38.33000000,38.33000000,38.13000000,38.15000000,4830.72000000,1633033259999,38.38849875989463
2021-09-30 21:54:00,1633038840000,38.47000000,38.47000000,38.17000000,38.22000000,9406.60000000,1633039019999,38.60121931571928
2021-10-01 08:15:00,1633076100000,37.93000000,37.93000000,37.74000000,37.78000000,18900.34000000,1633076279999,38.19856126917158
